split,record,ground_png,sensor_png,mask_png,target_png
train,UnscaledAccRecord893554_1001_1100_RSN1002,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1002.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1002.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1002.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1002.png
train,UnscaledAccRecord893554_1001_1100_RSN1003,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1003.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1003.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1003.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1003.png
train,UnscaledAccRecord893554_1001_1100_RSN1006,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1006.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1006.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1006.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1006.png
train,UnscaledAccRecord893554_1001_1100_RSN1007,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1007.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1007.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1007.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1007.png
train,UnscaledAccRecord893554_1001_1100_RSN1008,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1008.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1008.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1008.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1008.png
train,UnscaledAccRecord893554_1001_1100_RSN1011,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1011.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1011.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1011.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1011.png
train,UnscaledAccRecord893554_1001_1100_RSN1012,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1012.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1012.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1012.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1012.png
train,UnscaledAccRecord893554_1001_1100_RSN1013,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1013.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1013.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1013.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1013.png
train,UnscaledAccRecord893554_1001_1100_RSN1014,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1014.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1014.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1014.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1014.png
train,UnscaledAccRecord893554_1001_1100_RSN1015,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1015.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1015.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1015.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1015.png
train,UnscaledAccRecord893554_1001_1100_RSN1016,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1016.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1016.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1016.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1016.png
train,UnscaledAccRecord893554_1001_1100_RSN1017,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1017.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1017.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1017.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1017.png
train,UnscaledAccRecord893554_1001_1100_RSN1019,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1019.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1019.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1019.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1019.png
train,UnscaledAccRecord893554_1001_1100_RSN1020,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1020.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1020.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1020.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1020.png
train,UnscaledAccRecord893554_1001_1100_RSN1021,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1021.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1021.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1021.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1021.png
train,UnscaledAccRecord893554_1001_1100_RSN1022,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1022.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1022.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1022.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1022.png
train,UnscaledAccRecord893554_1001_1100_RSN1024,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1024.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1024.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1024.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1024.png
train,UnscaledAccRecord893554_1001_1100_RSN1026,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1026.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1026.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1026.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1026.png
